Rk,Team,Date,Spread,Over/Under,Temperature,Day,G#,Week,,Opp,Result,Spread,vs. Line,Over/Under,OU Result,after_bye
122,MIN,12/16/23,3,41,53,Sat,14,15,@,CIN,L 24-27 (OT),3,push,41,over,0
123,DEN,12/16/23,4.5,48,70,Sat,14,15,@,DET,L 17-42,4.5,did not cover,48,over,0
124,DET,12/16/23,-4.5,48,70,Sat,14,15,,DEN,W 42-17,-4.5,covered,48,over,0
125,LAC,12/14/23,3,34,58,Thu,14,15,@,LVR,L 21-63,3,did not cover,34,over,0
126,LVR,12/14/23,-3,34,58,Thu,14,15,,LAC,W 63-21,-3,covered,34,over,0
127,TEN,12/11/23,13.5,46.5,64,Mon,13,14,@,MIA,W 28-27,13.5,covered,46.5,over,0
128,MIA,12/11/23,-13.5,46.5,64,Mon,13,14,,TEN,L 27-28,-13.5,did not cover,46.5,over,0
129,GNB,12/11/23,-6,37,39,Mon,13,14,@,NYG,L 22-24,-6,did not cover,37,over,0
130,ATL,12/10/23,-1,41,68,Sun,13,14,,TAM,L 25-29,-1,did not cover,41,over,0
131,TAM,12/10/23,1,41,68,Sun,13,14,@,ATL,W 29-25,1,covered,41,over,0
132,KAN,12/10/23,-1.5,48.5,45,Sun,13,14,,BUF,L 17-20,-1.5,did not cover,48.5,under,0
133,CAR,12/10/23,6,38.5,55,Sun,13,14,@,NOR,L 6-28,6,did not cover,38.5,under,0
134,CIN,12/10/23,-2.5,44.5,40,Sun,13,14,,IND,W 34-14,-2.5,covered,44.5,over,0
135,PHI,12/10/23,3.5,51.5,43,Sun,13,14,@,DAL,L 13-33,3.5,did not cover,51.5,under,0
136,NYJ,12/10/23,3.5,33,58,Sun,13,14,,HOU,W 30-6,3.5,covered,33,over,0
137,CLE,12/10/23,-2.5,34,39,Sun,13,14,,JAX,W 31-27,-2.5,covered,34,over,0
138,LAR,12/10/23,7.5,39.5,57,Sun,13,14,@,BAL,L 31-37 (OT),7.5,covered,39.5,over,0
139,IND,12/10/23,2.5,44.5,40,Sun,13,14,@,CIN,L 14-34,2.5,did not cover,44.5,over,0
140,SEA,12/10/23,13.5,46.5,63,Sun,13,14,@,SFO,L 16-28,13.5,covered,46.5,under,0
141,JAX,12/10/23,2.5,34,39,Sun,13,14,@,CLE,L 27-31,2.5,did not cover,34,over,0
142,DAL,12/10/23,-3.5,51.5,43,Sun,13,14,,PHI,W 33-13,-3.5,covered,51.5,under,0
143,DEN,12/10/23,2.5,43.5,75,Sun,13,14,@,LAC,W 24-7,2.5,covered,43.5,under,0
144,SFO,12/10/23,-13.5,46.5,63,Sun,13,14,,SEA,W 28-16,-13.5,did not cover,46.5,under,0
145,DET,12/10/23,-3,43,36,Sun,13,14,@,CHI,L 13-28,-3,did not cover,43,under,0
146,NOR,12/10/23,-6,38.5,55,Sun,13,14,,CAR,W 28-6,-6,covered,38.5,under,0
147,LAC,12/10/23,-2.5,43.5,75,Sun,13,14,,DEN,L 7-24,-2.5,did not cover,43.5,under,0
148,HOU,12/10/23,-3.5,33,58,Sun,13,14,@,NYJ,L 6-30,-3.5,did not cover,33,over,0
149,NWE,12/7/23,6,30,42,Thu,13,14,@,PIT,W 21-18,6,covered,30,over,0
150,PIT,12/7/23,-6,30,42,Thu,13,14,,NWE,L 18-21,-6,did not cover,30,over,0
151,JAX,12/4/23,-10,40,61,Mon,12,13,,CIN,L 31-34 (OT),-10,did not cover,40,over,0
152,CIN,12/4/23,10,40,61,Mon,12,13,@,JAX,W 34-31 (OT),10,covered,40,over,0
153,ATL,12/3/23,-2,33.5,50,Sun,12,13,@,NYJ,W 13-8,-2,covered,33.5,under,0
154,NOR,12/3/23,4.5,47.5,65,Sun,12,13,,DET,L 28-33,4.5,did not cover,47.5,over,0
155,SFO,12/3/23,-3,48,52,Sun,12,13,@,PHI,W 42-19,-3,covered,48,over,0
156,CAR,12/3/23,3.5,36.5,81,Sun,12,13,@,TAM,L 18-21,3.5,covered,36.5,over,0
157,LAR,12/3/23,-4,40.5,67,Sun,12,13,,CLE,W 36-19,-4,covered,40.5,over,0
158,LAC,12/3/23,-5.5,39,44,Sun,12,13,@,NWE,W 6-0,-5.5,covered,39,under,0
159,CLE,12/3/23,4,40.5,67,Sun,12,13,@,LAR,L 19-36,4,did not cover,40.5,over,0
160,MIA,12/3/23,-9,49.5,53,Sun,12,13,@,WAS,W 45-15,-9,covered,49.5,over,0
161,PHI,12/3/23,3,48,52,Sun,12,13,,SFO,L 19-42,3,did not cover,48,over,0
162,IND,12/3/23,-1,42,53,Sun,12,13,@,TEN,W 31-28 (OT),-1,covered,42,over,0
163,KAN,12/3/23,-5.5,42.5,31,Sun,12,13,@,GNB,L 19-27,-5.5,did not cover,42.5,over,0
164,WAS,12/3/23,9,49.5,53,Sun,13,13,,MIA,L 15-45,9,did not cover,49.5,over,0
165,ARI,12/3/23,6.5,41,56,Sun,13,13,@,PIT,W 24-10,6.5,covered,41,under,0
166,PIT,12/3/23,-6.5,41,56,Sun,12,13,,ARI,L 10-24,-6.5,did not cover,41,under,0
167,NYJ,12/3/23,2,33.5,50,Sun,12,13,,ATL,L 8-13,2,did not cover,33.5,under,0
168,DEN,12/3/23,3,47,68,Sun,12,13,@,HOU,L 17-22,3,did not cover,47,under,0
169,DET,12/3/23,-4.5,47.5,65,Sun,12,13,@,NOR,W 33-28,-4.5,covered,47.5,over,0
170,TEN,12/3/23,1,42,53,Sun,12,13,,IND,L 28-31 (OT),1,did not cover,42,over,0
171,NWE,12/3/23,5.5,39,44,Sun,12,13,,LAC,L 0-6,5.5,did not cover,39,under,0
172,GNB,12/3/23,5.5,42.5,31,Sun,12,13,,KAN,W 27-19,5.5,covered,42.5,over,0
173,TAM,12/3/23,-3.5,36.5,81,Sun,12,13,,CAR,W 21-18,-3.5,did not cover,36.5,over,0
174,HOU,12/3/23,-3,47,68,Sun,12,13,,DEN,W 22-17,-3,covered,47,under,0
175,SEA,11/30/23,9.5,47,61,Thu,12,13,@,DAL,L 35-41,9.5,covered,47,over,0
176,DAL,11/30/23,-9.5,47,61,Thu,12,13,,SEA,W 41-35,-9.5,did not cover,47,over,0
177,CHI,11/27/23,3,44,16,Mon,12,12,@,MIN,W 12-10,3,covered,44,under,0
178,MIN,11/27/23,-3,44,16,Mon,12,12,,CHI,L 10-12,-3,did not cover,44,under,0
179,TEN,11/26/23,-3.5,36.5,51,Sun,11,12,,CAR,W 17-10,-3.5,covered,36.5,under,0
180,BUF,11/26/23,3,48.5,47,Sun,12,12,@,PHI,L 34-37 (OT),3,push,48.5,over,0
181,CAR,11/26/23,3.5,36.5,51,Sun,11,12,@,TEN,L 10-17,3.5,did not cover,36.5,under,0
182,KAN,11/26/23,-10,43,55,Sun,11,12,@,LVR,W 31-17,-10,covered,43,over,0
183,NYG,11/26/23,4,34,43,Sun,12,12,,NWE,W 10-7,4,covered,34,under,0
184,CIN,11/26/23,2,36.5,48,Sun,11,12,,PIT,L 10-16,2,did not cover,36.5,under,0
185,LAC,11/26/23,3,48,64,Sun,11,12,,BAL,L 10-20,3,did not cover,48,under,0
186,CLE,11/26/23,1,37,40,Sun,11,12,@,DEN,L 12-29,1,did not cover,37,over,0
187,JAX,11/26/23,-1.5,48,57,Sun,11,12,@,HOU,W 24-21,-1.5,covered,48,under,0
188,TAM,11/26/23,2.5,45.5,37,Sun,11,12,@,IND,L 20-27,2.5,did not cover,45.5,over,0
189,ARI,11/26/23,2.5,45,68,Sun,12,12,,LAR,L 14-37,2.5,did not cover,45,over,0
190,PIT,11/26/23,-2,36.5,48,Sun,11,12,@,CIN,W 16-10,-2,covered,36.5,under,0
191,BAL,11/26/23,-3,48,64,Sun,12,12,@,LAC,W 20-10,-3,covered,48,under,0
192,DEN,11/26/23,-1,37,40,Sun,11,12,,CLE,W 29-12,-1,covered,37,over,0
193,PHI,11/26/23,-3,48.5,47,Sun,11,12,,BUF,W 37-34 (OT),-3,push,48.5,over,0
194,LVR,11/26/23,10,43,55,Sun,12,12,,KAN,L 17-31,10,did not cover,43,over,0
195,LAR,11/26/23,-2.5,45,68,Sun,11,12,@,ARI,W 37-14,-2.5,covered,45,over,0
196,HOU,11/26/23,1.5,48,57,Sun,11,12,,JAX,L 21-24,1.5,did not cover,48,under,0
197,MIA,11/24/23,-9.5,40.5,48,Fri,11,12,@,NYJ,W 34-13,-9.5,covered,40.5,over,0
198,NYJ,11/24/23,9.5,40.5,48,Fri,11,12,,MIA,L 13-34,9.5,did not cover,40.5,over,0
199,WAS,11/23/23,13.5,48.5,62,Thu,12,12,@,DAL,L 10-45,13.5,did not cover,48.5,over,0
200,SEA,11/23/23,7.5,43.5,39,Thu,11,12,,SFO,L 13-31,7.5,did not cover,43.5,over,0
201,DAL,11/23/23,-13.5,48.5,62,Thu,11,12,,WAS,W 45-10,-13.5,covered,48.5,over,0
202,WAS,11/23/23,13.5,48.5,62,Thu,12,12,@,DAL,L 10-45,13.5,did not cover,48.5,over,0
203,SFO,11/23/23,-7.5,43.5,39,Thu,11,12,@,SEA,W 31-13,-7.5,covered,43.5,over,0
204,GNB,11/23/23,8,47,68,Thu,11,12,@,DET,W 29-22,8,covered,47,over,0
205,SEA,11/19/23,2,46,72,Sun,10,11,@,LAR,L 16-17,2,covered,46,under,0
206,HOU,11/19/23,-5.5,49,68,Sun,10,11,,ARI,W 21-16,-5.5,did not cover,49,under,0
207,NYG,11/19/23,9,38,56,Sun,11,11,@,WAS,W 31-19,9,covered,38,over,0
208,CHI,11/19/23,8,48,68,Sun,11,11,@,DET,L 26-31,8,covered,48,over,0
209,DET,11/19/23,-8,48,68,Sun,10,11,,CHI,W 31-26,-8,did not cover,48,over,0
210,BUF,11/19/23,-7.5,39,40,Sun,11,11,,NYJ,W 32-6,-7.5,covered,39,under,0
211,LVR,11/19/23,13.5,46,82,Sun,11,11,@,MIA,L 13-20,13.5,covered,46,under,0
212,DAL,11/19/23,-11,43,65,Sun,10,11,@,CAR,W 33-10,-11,covered,43,push,0
213,WAS,11/19/23,-9,38,56,Sun,11,11,,NYG,L 19-31,-9,did not cover,38,over,0
214,SFO,11/19/23,-13,41,65,Sun,10,11,,TAM,W 27-14,-13,push,41,push,0
215,JAX,11/19/23,-6.5,40,75,Sun,10,11,,TEN,W 34-14,-6.5,covered,40,over,0
216,NYJ,11/19/23,7.5,39,40,Sun,10,11,@,BUF,L 6-32,7.5,did not cover,39,under,0
217,LAC,11/19/23,-3,44,45,Sun,10,11,@,GNB,L 20-23,-3,did not cover,44,under,0
218,GNB,11/19/23,3,44,45,Sun,10,11,,LAC,W 23-20,3,covered,44,under,0
219,CAR,11/19/23,11,43,65,Sun,10,11,,DAL,L 10-33,11,did not cover,43,push,0
220,DEN,11/19/23,-3,41,53,Sun,10,11,,MIN,W 21-20,-3,did not cover,41,push,0
221,MIN,11/19/23,3,41,53,Sun,11,11,@,DEN,L 20-21,3,covered,41,push,0
222,PIT,11/19/23,2,33,48,Sun,10,11,@,CLE,L 10-13,2,did not cover,33,under,0
223,ARI,11/19/23,5.5,49,68,Sun,11,11,@,HOU,L 16-21,5.5,covered,49,under,0
224,TAM,11/19/23,13,41,65,Sun,10,11,@,SFO,L 14-27,13,push,41,push,0
225,TEN,11/19/23,6.5,40,75,Sun,10,11,@,JAX,L 14-34,6.5,did not cover,40,over,0
226,CLE,11/19/23,-2,33,48,Sun,10,11,,PIT,W 13-10,-2,covered,33,under,0
227,BAL,11/16/23,-4,46,56,Thu,11,11,,CIN,W 34-20,-4,covered,46,over,0
228,CIN,11/16/23,4,46,56,Thu,10,11,@,BAL,L 20-34,4,did not cover,46,over,0
229,BUF,11/13/23,-7.5,47.5,49,Mon,10,10,,DEN,L 22-24,-7.5,did not cover,47.5,under,0
230,SEA,11/12/23,-5.5,44.5,52,Sun,9,10,,WAS,W 29-26,-5.5,did not cover,44.5,over,0
231,HOU,11/12/23,5.5,45.5,56,Sun,9,10,@,CIN,W 30-27,5.5,covered,45.5,over,0
232,NYG,11/12/23,17.5,38.5,63,Sun,10,10,@,DAL,L 17-49,17.5,did not cover,38.5,over,0
233,BAL,11/12/23,-6,38.5,49,Sun,10,10,,CLE,L 31-33,-6,did not cover,38.5,over,0
234,NOR,11/12/23,-2.5,40.5,51,Sun,10,10,@,MIN,L 19-27,-2.5,did not cover,40.5,over,0
235,LVR,11/12/23,1.5,35.5,71,Sun,10,10,,NYJ,W 16-12,1.5,covered,35.5,under,0
236,DAL,11/12/23,-17.5,38.5,63,Sun,9,10,,NYG,W 49-17,-17.5,covered,38.5,over,0
237,WAS,11/12/23,5.5,44.5,52,Sun,10,10,@,SEA,L 26-29,5.5,covered,44.5,over,0
238,IND,11/12/23,-2.5,41.5,47,Sun,10,10,@,NWE,W 10-6,-2.5,covered,41.5,under,0
239,NYJ,11/12/23,-1.5,35.5,71,Sun,9,10,@,LVR,L 12-16,-1.5,did not cover,35.5,under,0
240,CIN,11/12/23,-5.5,45.5,56,Sun,9,10,,HOU,L 27-30,-5.5,did not cover,45.5,over,0
241,LAC,11/12/23,2.5,48.5,79,Sun,9,10,,DET,L 38-41,2.5,did not cover,48.5,over,0
242,GNB,11/12/23,3,38.5,50,Sun,9,10,@,PIT,L 19-23,3,did not cover,38.5,over,0
243,NWE,11/12/23,2.5,41.5,47,Sun,10,10,,IND,L 6-10,2.5,did not cover,41.5,under,0
244,ATL,11/12/23,-2.5,43.5,0,Sun,10,10,@,ARI,L 23-25,-2.5,did not cover,43.5,over,0
245,MIN,11/12/23,2.5,40.5,51,Sun,10,10,,NOR,W 27-19,2.5,covered,40.5,over,0
246,PIT,11/12/23,-3,38.5,50,Sun,9,10,,GNB,W 23-19,-3,covered,38.5,over,0
247,ARI,11/12/23,2.5,43.5,0,Sun,10,10,,ATL,W 25-23,2.5,covered,43.5,over,0
248,TAM,11/12/23,-2.5,38.5,85,Sun,9,10,,TEN,W 20-6,-2.5,covered,38.5,under,0
249,TEN,11/12/23,2.5,38.5,85,Sun,9,10,@,TAM,L 6-20,2.5,did not cover,38.5,under,0
250,CLE,11/12/23,6,38.5,49,Sun,9,10,@,BAL,W 33-31,6,covered,38.5,over,0
251,CHI,11/9/23,-3.5,38.5,51,Thu,10,10,,CAR,W 16-13,-3.5,did not cover,38.5,under,0
252,CAR,11/9/23,3.5,38.5,51,Thu,9,10,@,CHI,L 13-16,3.5,covered,38.5,under,0
253,NYJ,11/6/23,3,41,48,Mon,8,9,,LAC,L 6-27,3,did not cover,41,under,0
254,LAC,11/6/23,-3,41,48,Mon,8,9,@,NYJ,W 27-6,-3,covered,41,under,0
255,SEA,11/5/23,6.5,44.5,70,Sun,8,9,@,BAL,L 3-37,6.5,did not cover,44.5,under,0
256,HOU,11/5/23,-2.5,36.5,80,Sun,8,9,,TAM,W 39-37,-2.5,did not cover,36.5,over,0
257,NYG,11/5/23,1.5,38.5,73,Sun,9,9,@,LVR,L 6-30,1.5,did not cover,38.5,under,0
258,CHI,11/5/23,8.5,42.5,72,Sun,9,9,@,NOR,L 17-24,8.5,covered,42.5,under,0
259,BAL,11/5/23,-6.5,44.5,70,Sun,9,9,,SEA,W 37-3,-6.5,covered,44.5,under,0
260,BUF,11/5/23,1.5,50.5,51,Sun,9,9,@,CIN,L 18-24,1.5,did not cover,50.5,under,0
261,NOR,11/5/23,-8.5,42.5,72,Sun,9,9,,CHI,W 24-17,-8.5,did not cover,42.5,under,0
262,LVR,11/5/23,-1.5,38.5,73,Sun,9,9,,NYG,W 30-6,-1.5,covered,38.5,under,0
263,DAL,11/5/23,3,46.5,64,Sun,8,9,@,PHI,L 23-28,3,did not cover,46.5,over,0
264,WAS,11/5/23,2.5,40.5,62,Sun,9,9,@,NWE,W 20-17,2.5,covered,40.5,under,0
265,MIA,11/5/23,1.5,51.5,53,Sun,9,9,@,KAN,L 14-21,1.5,did not cover,51.5,under,0
266,PHI,11/5/23,-3,46.5,64,Sun,9,9,,DAL,W 28-23,-3,covered,46.5,over,0
267,IND,11/5/23,-1.5,44.5,75,Sun,9,9,@,CAR,W 27-13,-1.5,covered,44.5,under,0
268,CIN,11/5/23,-1.5,50.5,51,Sun,8,9,,BUF,W 24-18,-1.5,covered,50.5,under,0
269,GNB,11/5/23,-3.5,37.5,51,Sun,8,9,,LAR,W 20-3,-3.5,covered,37.5,under,0
270,NWE,11/5/23,-2.5,40.5,62,Sun,9,9,,WAS,L 17-20,-2.5,did not cover,40.5,under,0
271,CAR,11/5/23,1.5,44.5,75,Sun,8,9,,IND,L 13-27,1.5,did not cover,44.5,under,0
272,LAR,11/5/23,3.5,37.5,51,Sun,9,9,@,GNB,L 3-20,3.5,did not cover,37.5,under,0
273,ATL,11/5/23,-3.5,39.5,70,Sun,9,9,,MIN,L 28-31,-3.5,did not cover,39.5,over,0
274,MIN,11/5/23,3.5,39.5,70,Sun,9,9,@,ATL,W 31-28,3.5,covered,39.5,over,0
275,ARI,11/5/23,13.5,38.5,56,Sun,9,9,@,CLE,L 0-27,13.5,did not cover,38.5,under,0
276,TAM,11/5/23,2.5,36.5,80,Sun,8,9,@,HOU,L 37-39,2.5,covered,36.5,over,0
277,KAN,11/5/23,-1.5,51.5,53,Sun,9,9,,MIA,W 21-14,-1.5,covered,51.5,under,0
278,CLE,11/5/23,-13.5,38.5,56,Sun,8,9,,ARI,W 27-0,-13.5,covered,38.5,under,0
279,PIT,11/2/23,-3,36.5,40,Thu,8,9,,TEN,W 20-16,-3,covered,36.5,under,0
280,TEN,11/2/23,3,36.5,40,Thu,8,9,@,PIT,L 16-20,3,did not cover,36.5,under,0
281,DET,10/30/23,-7,45.5,72,Mon,8,8,,LVR,W 26-14,-7,covered,45.5,under,0
282,LVR,10/30/23,7,45.5,72,Mon,8,8,@,DET,L 14-26,7,did not cover,45.5,under,0
283,SEA,10/29/23,-4.5,39.5,47,Sun,7,8,,CLE,W 24-20,-4.5,did not cover,39.5,over,0
284,NYG,10/29/23,3.5,34.5,52,Sun,8,8,,NYJ,L 10-13 (OT),3.5,covered,34.5,under,0
285,CHI,10/29/23,10.5,45.5,76,Sun,8,8,@,LAC,L 13-30,10.5,did not cover,45.5,under,0
286,BAL,10/29/23,-9.5,44.5,75,Sun,8,8,@,ARI,W 31-24,-9.5,did not cover,44.5,over,0
287,NOR,10/29/23,-1.5,43.5,51,Sun,8,8,@,IND,W 38-27,-1.5,covered,43.5,over,0
288,WAS,10/29/23,6.5,42.5,69,Sun,8,8,,PHI,L 31-38,6.5,did not cover,42.5,over,0
289,MIA,10/29/23,-8.5,46.5,83,Sun,8,8,,NWE,W 31-17,-8.5,covered,46.5,over,0
290,PHI,10/29/23,-6.5,42.5,69,Sun,8,8,@,WAS,W 38-31,-6.5,covered,42.5,over,0
291,IND,10/29/23,1.5,43.5,51,Sun,8,8,,NOR,L 27-38,1.5,did not cover,43.5,over,0
292,SFO,10/29/23,-4.5,44.5,74,Sun,8,8,,CIN,L 17-31,-4.5,did not cover,44.5,over,0
293,JAX,10/29/23,-2.5,40.5,58,Sun,8,8,@,PIT,W 20-10,-2.5,covered,40.5,under,0
294,LAC,10/29/23,-10.5,45.5,76,Sun,7,8,,CHI,W 30-13,-10.5,covered,45.5,under,0
295,GNB,10/29/23,1.5,41.5,39,Sun,7,8,,MIN,L 10-24,1.5,did not cover,41.5,under,0
296,NWE,10/29/23,8.5,46.5,83,Sun,8,8,@,MIA,L 17-31,8.5,did not cover,46.5,over,0
297,LAR,10/29/23,6.5,44.5,45,Sun,8,8,@,DAL,L 20-43,6.5,did not cover,44.5,over,0
298,DEN,10/29/23,7,45.5,26,Sun,8,8,,KAN,W 24-9,7,covered,45.5,under,0
299,ATL,10/29/23,-2.5,35.5,77,Sun,8,8,@,TEN,L 23-28,-2.5,did not cover,35.5,over,0
300,MIN,10/29/23,-1.5,41.5,39,Sun,8,8,@,GNB,W 24-10,-1.5,covered,41.5,under,0
301,PIT,10/29/23,2.5,40.5,58,Sun,7,8,,JAX,L 10-20,2.5,did not cover,40.5,under,0
302,ARI,10/29/23,9.5,44.5,75,Sun,8,8,,BAL,L 24-31,9.5,covered,44.5,over,0
303,KAN,10/29/23,-7,45.5,26,Sun,8,8,@,DEN,L 9-24,-7,did not cover,45.5,under,0
304,CLE,10/29/23,4.5,39.5,47,Sun,7,8,@,SEA,L 20-24,4.5,covered,39.5,over,0
305,BUF,10/26/23,-10,43.5,66,Thu,8,8,,TAM,W 24-18,-10,did not cover,43.5,under,0
306,TAM,10/26/23,10,43.5,66,Thu,7,8,@,BUF,L 18-24,10,covered,43.5,under,0
307,SFO,10/23/23,-7,44,60,Mon,7,7,@,MIN,L 17-22,-7,did not cover,44,under,0
308,MIN,10/23/23,7,44,60,Mon,7,7,,SFO,W 22-17,7,covered,44,under,0
309,SEA,10/22/23,-8.5,43.5,56,Sun,6,7,,ARI,W 20-10,-8.5,covered,43.5,under,0
310,NYG,10/22/23,3,36.5,54,Sun,7,7,,WAS,W 14-7,3,covered,36.5,under,0
311,CHI,10/22/23,2.5,38.5,52,Sun,7,7,,LVR,W 30-12,2.5,covered,38.5,over,0
312,BAL,10/22/23,-3,43.5,62,Sun,7,7,,DET,W 38-6,-3,covered,43.5,over,0
313,DET,10/22/23,3,43.5,62,Sun,7,7,@,BAL,L 6-38,3,did not cover,43.5,over,0
314,BUF,10/22/23,-7.5,41.5,55,Sun,7,7,@,NWE,L 25-29,-7.5,did not cover,41.5,over,0
315,LVR,10/22/23,-2.5,38.5,52,Sun,7,7,@,CHI,L 12-30,-2.5,did not cover,38.5,over,0
316,WAS,10/22/23,-3,36.5,54,Sun,7,7,@,NYG,L 7-14,-3,did not cover,36.5,under,0
317,MIA,10/22/23,3,51.5,55,Sun,7,7,@,PHI,L 17-31,3,did not cover,51.5,under,0
318,PHI,10/22/23,-3,51.5,55,Sun,7,7,,MIA,W 31-17,-3,covered,51.5,under,0
319,IND,10/22/23,3.5,39.5,53,Sun,7,7,,CLE,L 38-39,3.5,covered,39.5,over,0
320,LAC,10/22/23,5.5,48.5,72,Sun,6,7,@,KAN,L 17-31,5.5,did not cover,48.5,under,0
321,NWE,10/22/23,7.5,41.5,55,Sun,7,7,,BUF,W 29-25,7.5,covered,41.5,over,0
322,LAR,10/22/23,-3,43.5,74,Sun,7,7,,PIT,L 17-24,-3,did not cover,43.5,under,0
323,DEN,10/22/23,-1,44,72,Sun,7,7,,GNB,W 19-17,-1,covered,44,under,0
324,ATL,10/22/23,3,37.5,79,Sun,7,7,@,TAM,W 16-13,3,covered,37.5,under,0
325,ARI,10/22/23,8.5,43.5,56,Sun,7,7,@,SEA,L 10-20,8.5,did not cover,43.5,under,0
326,TAM,10/22/23,-3,37.5,79,Sun,6,7,,ATL,L 13-16,-3,did not cover,37.5,under,0
327,KAN,10/22/23,-5.5,48.5,72,Sun,7,7,,LAC,W 31-17,-5.5,covered,48.5,under,0
328,CLE,10/22/23,-3.5,39.5,53,Sun,6,7,@,IND,W 39-38,-3.5,did not cover,39.5,over,0
329,NOR,10/19/23,-2.5,40.5,79,Thu,7,7,,JAX,L 24-31,-2.5,did not cover,40.5,over,0
330,JAX,10/19/23,2.5,40.5,79,Thu,7,7,@,NOR,W 31-24,2.5,covered,40.5,over,0
331,DAL,10/16/23,-1.5,50,74,Mon,6,6,@,LAC,W 20-17,-1.5,covered,50,under,0
332,HOU,10/15/23,2.5,41.5,67,Sun,6,6,,NOR,W 20-13,2.5,covered,41.5,under,0
333,NYG,10/15/23,15.5,43.5,46,Sun,6,6,@,BUF,L 9-14,15.5,covered,43.5,under,0
334,CHI,10/15/23,3,44.5,53,Sun,6,6,,MIN,L 13-19,3,did not cover,44.5,under,0
335,BAL,10/15/23,-5,42.5,52,Sun,6,6,@,TEN,W 24-16,-5,covered,42.5,under,0
336,DET,10/15/23,-3,43.5,77,Sun,6,6,@,TAM,W 20-6,-3,covered,43.5,under,0
337,BUF,10/15/23,-15.5,43.5,46,Sun,6,6,,NYG,W 14-9,-15.5,did not cover,43.5,under,0
338,NOR,10/15/23,-2.5,41.5,67,Sun,6,6,@,HOU,L 13-20,-2.5,did not cover,41.5,under,0
339,LVR,10/15/23,-2.5,42.5,81,Sun,6,6,,NWE,W 21-17,-2.5,covered,42.5,under,0
340,WAS,10/15/23,1.5,41.5,62,Sun,6,6,@,ATL,W 24-16,1.5,covered,41.5,under,0
341,MIA,10/15/23,-14,47.5,87,Sun,6,6,,CAR,W 42-21,-14,covered,47.5,over,0
342,PHI,10/15/23,-6.5,43.5,59,Sun,6,6,@,NYJ,L 14-20,-6.5,did not cover,43.5,under,0
343,SFO,10/15/23,-9.5,35.5,53,Sun,6,6,@,CLE,L 17-19,-9.5,did not cover,35.5,over,0
344,NYJ,10/15/23,6.5,43.5,59,Sun,6,6,,PHI,W 20-14,6.5,covered,43.5,under,0
345,CIN,10/15/23,-3,45.5,57,Sun,6,6,,SEA,W 17-13,-3,covered,45.5,under,0
346,NWE,10/15/23,2.5,42.5,81,Sun,6,6,@,LVR,L 17-21,2.5,did not cover,42.5,under,0
347,CAR,10/15/23,14,47.5,87,Sun,6,6,@,MIA,L 21-42,14,did not cover,47.5,over,0
348,LAR,10/15/23,-7,47.5,82,Sun,6,6,,ARI,W 26-9,-7,covered,47.5,under,0
349,ATL,10/15/23,-1.5,41.5,62,Sun,6,6,,WAS,L 16-24,-1.5,did not cover,41.5,under,0
350,MIN,10/15/23,-3,44.5,53,Sun,6,6,@,CHI,W 19-13,-3,covered,44.5,under,0
351,ARI,10/15/23,7,47.5,82,Sun,6,6,@,LAR,L 9-26,7,did not cover,47.5,under,0
352,TEN,10/15/23,5,42.5,52,Sun,6,6,,BAL,L 16-24,5,did not cover,42.5,under,0
353,LVR,10/9/23,-1.5,44.5,93,Mon,5,5,,GNB,W 17-13,-1.5,covered,44.5,under,0
354,GNB,10/9/23,1.5,44.5,93,Mon,5,5,@,LVR,L 13-17,1.5,did not cover,44.5,under,0
355,HOU,10/8/23,2.5,42,63,Sun,5,5,@,ATL,L 19-21,2.5,covered,42,under,0
356,NYG,10/8/23,13,47.5,88,Sun,5,5,@,MIA,L 16-31,13,did not cover,47.5,under,0
357,BAL,10/8/23,-4.5,38.5,53,Sun,5,5,@,PIT,L 10-17,-4.5,did not cover,38.5,under,0
358,DET,10/8/23,-9.5,43.5,68,Sun,5,5,,CAR,W 42-24,-9.5,covered,43.5,over,0
359,BUF,10/8/23,-5.5,48.5,75,Sun,5,5,,JAX,L 20-25,-5.5,did not cover,48.5,under,0
360,NOR,10/8/23,1.5,38.5,61,Sun,5,5,@,NWE,W 34-0,1.5,covered,38.5,under,0
361,DAL,10/8/23,3.5,45,78,Sun,5,5,@,SFO,L 10-42,3.5,did not cover,45,over,0
362,MIA,10/8/23,-13,47.5,88,Sun,5,5,,NYG,W 31-16,-13,covered,47.5,under,0
363,PHI,10/8/23,-3.5,49.5,71,Sun,5,5,@,LAR,W 23-14,-3.5,covered,49.5,under,0
364,IND,10/8/23,2.5,43.5,53,Sun,5,5,,TEN,W 23-16,2.5,covered,43.5,under,0
365,SFO,10/8/23,-3.5,45,78,Sun,5,5,,DAL,W 42-10,-3.5,covered,45,over,0
366,JAX,10/8/23,5.5,48.5,75,Sun,5,5,@,BUF,W 25-20,5.5,covered,48.5,under,0
367,NYJ,10/8/23,2.5,42.5,73,Sun,5,5,@,DEN,W 31-21,2.5,covered,42.5,over,0
368,CIN,10/8/23,-3,45.5,95,Sun,5,5,@,ARI,W 34-20,-3,covered,45.5,over,0
369,NWE,10/8/23,-1.5,38.5,61,Sun,5,5,,NOR,L 0-34,-1.5,did not cover,38.5,under,0
370,CAR,10/8/23,9.5,43.5,68,Sun,5,5,@,DET,L 24-42,9.5,did not cover,43.5,over,0
